titles,idx,sentences,distances
homer-iliad_02,id200,"Among them went Menelaus himself, strong in zeal, urging his men to fight; for he longed to avenge the toil and sorrow that he had suffered for the sake of Helen.",1.0889941453933716
homer-iliad_02,id53,"But Juno said to Minerva,"" Alas, daughter of aegis- bearing Jove, unweariable, shall the Argives fly home to their own land over the broad sea, and leave Priam and the Trojans the glory of still keeping Helen, for whose sake so many of the Achaeans have died at Troy, far from their homes?",1.1196247339248657
homer-iliad_02,id59,"Will you leave Priam and the Trojans the glory of still keeping Helen, for whose sake so many of the Achaeans have died at Troy, far from their homes?",1.0482282638549805
homer-iliad_03,id1,"Alexandria, also called Paris, challenges Menelaus—Helen and Priam view the Achaeans from the wall—The covenant—Paris and Menelaus fight, and Paris is worsted—Venus carries him off to save him—Scene between him and Helen.",1.0775247812271118
homer-iliad_03,id103,"The others took their several stations, each by his horses and the place where his arms were lying, while Alexandrus, husband of lovely Helen, put on his goodly armour.",1.0961369276046753
homer-iliad_03,id118,"Then she went to call Helen, and found her on a high tower with the Trojan women crowding round her.",0.9894535541534424
homer-iliad_03,id122,With these words she moved the heart of Helen to anger.,0.8717625737190247
homer-iliad_03,id132,At this Helen was frightened.,0.7419167160987854
homer-iliad_03,id133,"She wrapped her mantle about her and went in silence, following the goddess and unnoticed by the Trojan women.",1.1237409114837646
homer-iliad_03,id134,"When they came to the house of Alexandrus the maid- servants set about their work, but Helen went into her own room, and the laughter- loving goddess took a seat and set it for her facing Alexandrus.",0.9857997298240662
homer-iliad_03,id135,"On this Helen, daughter of aegis- bearing Jove, sat down, and with eyes askance began to upbraid her husband.",0.9970884323120117
homer-iliad_03,id147,"The victory has been with Menelaus; therefore give back Helen with all her wealth, and pay such fine as shall be agreed upon, in testimony among them that shall be born hereafter.""",0.9950869679450989
homer-iliad_03,id24,"If you would have me do battle with Menelaus, bid the Trojans and Achaeans take their seats, while he and I fight in their midst for Helen and all her wealth.",1.1091903448104858
homer-iliad_03,id41,"Meanwhile Iris went to Helen in the form of her sister- in- law, wife of the son of Antenor, for Helicaon, son of Antenor, had married Laodice, the fairest of Priam 's daughters.",1.0760855674743652
